Compound,Date,Negative,Neutral,News Source,Positive,Tweet Text,Tweets Ago
-0.8271,Sun Dec 17 16:55:29 +0000 2017,0.315,0.685,@BBCNorthAmerica,0.0,CIA 'helped stop Russia terror attack' https://t.co/9q6RSysdCy,0
-0.296,Sun Dec 17 15:23:05 +0000 2017,0.879,0.121,@BBCNorthAmerica,0.0,"""There's no amount of money that can compensate for the feelings you have about a place""

https://t.co/970dSalkn5 https://t.co/F4ER62EMYM",1
0.0,Sun Dec 17 14:41:40 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Christmas across US Mexico border https://t.co/OysIa0wOSr,2
0.0,Sun Dec 17 13:50:04 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"It's time to tell you about the family business... espionage 

https://t.co/79HHDkUSjx",3
-0.7184,Sun Dec 17 12:19:08 +0000 2017,0.625,0.375,@BBCNorthAmerica,0.0,Barry Sherman: Family disputes reports on mystery double death in Canada https://t.co/W6g5VnxIk2,4
0.0,Sun Dec 17 05:58:58 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Trump Russia probe: Mueller has 'thousands' of transition team emails https://t.co/8b9cplUxM5,5
0.0,Sun Dec 17 05:11:39 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Taking two million photos of Obama https://t.co/VV5H7CL3xN,6
-0.3182,Sun Dec 17 01:31:50 +0000 2017,0.696,0.209,@BBCNorthAmerica,0.096,Why this US woman is backing minority gun clubs https://t.co/c7DxMOlZAC,7
0.0,Sun Dec 17 00:41:56 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Raised on Janet https://t.co/wCPRwrZlPl,8
-0.5423,Sat Dec 16 23:13:57 +0000 2017,0.667,0.333,@BBCNorthAmerica,0.0,Anita Hill to chair Hollywood harassment commission https://t.co/Zl1TGPttxq,9
0.0,Sat Dec 16 22:09:36 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Hunter Harrison: CSX railway boss dies https://t.co/0ez1YExPnA,10
0.0,Sat Dec 16 21:50:32 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Pentagon's secret UFO programme revealed https://t.co/Eat0fFAjsS,11
0.079,Sat Dec 16 21:00:03 +0000 2017,0.693,0.147,@BBCNorthAmerica,0.16,"""It was very sad to see these wonderful elders, who had been part of a community, completely lost""… https://t.co/fhfY2BP6ml",12
0.0,Sat Dec 16 20:57:50 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Santa Barbara evacuated as Thomas flares up again https://t.co/OPYS19cq5h,13
0.0,Sat Dec 16 16:10:06 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"Nobody puts Stormy in a nativity scene! 🐮

https://t.co/EHwl8tCXdP https://t.co/wVQlK4LoYm",14
0.0,Sat Dec 16 13:49:46 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"""@peterlangstan  it's time to tell you about the family business... Espionage"" 

https://t.co/n1B20fzezl https://t.co/3j7LTINYc8",15
0.0,Sat Dec 16 13:45:02 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"President Trump's nominee for a federal judge in the District of Columbia may have trained as a lawyer, but judging… https://t.co/OOCgq9nWJ4",16
0.0,Sat Dec 16 11:14:41 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,San Francisco Aquatic Park shut over 'aggressive' sea lions https://t.co/m5Dnwnrqyu,17
-0.34,Sat Dec 16 10:29:56 +0000 2017,0.806,0.194,@BBCNorthAmerica,0.0,Weinstein 'derailed my career' Sorvino says after Peter Jackson claim https://t.co/xIZ9d5LuCg,18
0.0,Sat Dec 16 01:07:19 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Deaths of Canada billionaire Barry Sherman and wife 'suspicious' https://t.co/SIFtIv6UBU,19
-0.8271,Sun Dec 17 16:55:29 +0000 2017,0.315,0.685,@BBCNorthAmerica,0.0,CIA 'helped stop Russia terror attack' https://t.co/9q6RSysdCy,20
-0.296,Sun Dec 17 15:23:05 +0000 2017,0.879,0.121,@BBCNorthAmerica,0.0,"""There's no amount of money that can compensate for the feelings you have about a place""

https://t.co/970dSalkn5 https://t.co/F4ER62EMYM",21
0.0,Sun Dec 17 14:41:40 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Christmas across US Mexico border https://t.co/OysIa0wOSr,22
0.0,Sun Dec 17 13:50:04 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"It's time to tell you about the family business... espionage 

https://t.co/79HHDkUSjx",23
-0.7184,Sun Dec 17 12:19:08 +0000 2017,0.625,0.375,@BBCNorthAmerica,0.0,Barry Sherman: Family disputes reports on mystery double death in Canada https://t.co/W6g5VnxIk2,24
0.0,Sun Dec 17 05:58:58 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Trump Russia probe: Mueller has 'thousands' of transition team emails https://t.co/8b9cplUxM5,25
0.0,Sun Dec 17 05:11:39 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Taking two million photos of Obama https://t.co/VV5H7CL3xN,26
-0.3182,Sun Dec 17 01:31:50 +0000 2017,0.696,0.209,@BBCNorthAmerica,0.096,Why this US woman is backing minority gun clubs https://t.co/c7DxMOlZAC,27
0.0,Sun Dec 17 00:41:56 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Raised on Janet https://t.co/wCPRwrZlPl,28
-0.5423,Sat Dec 16 23:13:57 +0000 2017,0.667,0.333,@BBCNorthAmerica,0.0,Anita Hill to chair Hollywood harassment commission https://t.co/Zl1TGPttxq,29
0.0,Sat Dec 16 22:09:36 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Hunter Harrison: CSX railway boss dies https://t.co/0ez1YExPnA,30
0.0,Sat Dec 16 21:50:32 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Pentagon's secret UFO programme revealed https://t.co/Eat0fFAjsS,31
0.079,Sat Dec 16 21:00:03 +0000 2017,0.693,0.147,@BBCNorthAmerica,0.16,"""It was very sad to see these wonderful elders, who had been part of a community, completely lost""… https://t.co/fhfY2BP6ml",32
0.0,Sat Dec 16 20:57:50 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Santa Barbara evacuated as Thomas flares up again https://t.co/OPYS19cq5h,33
0.0,Sat Dec 16 16:10:06 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"Nobody puts Stormy in a nativity scene! 🐮

https://t.co/EHwl8tCXdP https://t.co/wVQlK4LoYm",34
0.0,Sat Dec 16 13:49:46 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"""@peterlangstan  it's time to tell you about the family business... Espionage"" 

https://t.co/n1B20fzezl https://t.co/3j7LTINYc8",35
